invoice_number,vendor,amount,invoice_date,due_date,status,po_number
INV-2026-1084,Westfield Insurance Group,2700.97,2026-05-05,2026-06-04,pending,PO-5372
INV-2026-1085,Northgate Consulting,390.19,2026-06-23,2026-07-23,paid,PO-5746
INV-2026-1086,Crescent Print Works,779.1,2026-04-19,2026-05-04,pending,PO-5963
INV-2026-1087,Northgate Consulting,846.95,2026-04-23,2026-05-23,paid,PO-5769
INV-2026-1088,Westfield Insurance Group,966.81,2026-04-24,2026-06-08,paid,PO-5307
INV-2026-1089,Timberline Maintenance,735.83,2026-04-29,2026-05-14,pending,PO-5158
INV-2026-1090,Meridian Office Partners,197.84,2026-05-12,2026-06-26,paid,PO-5096
INV-2026-1091,Fairview Catering Group,943.52,2026-05-16,2026-06-15,paid,PO-5167
INV-2026-1092,Alderwood IT Services,487.77,2026-06-04,2026-07-04,paid,PO-5677
INV-2026-1093,Granite Security Solutions,355.27,2026-06-03,2026-07-18,pending,PO-5470
INV-2026-1094,Lakeside Freight Co,859.99,2026-05-17,2026-07-01,paid,PO-5756
INV-2026-1095,Lakeside Freight Co,1447.84,2026-04-26,2026-05-26,paid,PO-5208
INV-2026-1096,Meridian Office Partners,217.0,2026-06-22,2026-08-06,paid,PO-5663
INV-2026-1097,Beacon Legal Advisors,1126.53,2026-06-21,2026-07-21,paid,PO-5488
INV-2026-1098,Timberline Maintenance,553.06,2026-06-06,2026-07-06,paid,PO-5110
INV-2026-1099,Beacon Legal Advisors,12537.83,2026-04-19,2026-06-03,paid,PO-5953
INV-2026-1100,Cobalt Marketing Studio,888.58,2026-06-29,2026-07-29,paid,PO-5472
INV-2026-1101,Crescent Print Works,153.45,2026-05-30,2026-06-14,pending,PO-5038
INV-2026-1102,Redwood Payroll Services,699.11,2026-04-11,2026-05-26,paid,PO-5395
INV-2026-1103,Fairview Catering Group,881.02,2026-06-22,2026-07-22,paid,PO-5027
INV-2026-1104,Meridian Office Partners,492.37,2026-04-14,2026-05-14,paid,PO-5766
INV-2026-1105,Granite Security Solutions,1358.08,2026-04-10,2026-05-10,paid,PO-5314
INV-2026-1106,Granite Security Solutions,147.32,2026-05-31,2026-07-15,paid,PO-5409
INV-2026-1107,Meridian Office Partners,694.72,2026-05-01,2026-06-15,pending,PO-5255
INV-2026-1108,Redwood Payroll Services,330.05,2026-06-16,2026-07-01,pending,PO-5604
INV-2026-1109,Beacon Legal Advisors,585.85,2026-05-19,2026-06-18,paid,PO-5542
INV-2026-1110,Crescent Print Works,1122.15,2026-05-30,2026-06-29,pending,PO-5884
INV-2026-1111,Redwood Payroll Services,1164.19,2026-06-14,2026-06-29,pending,PO-5825
INV-2026-1112,Beacon Legal Advisors,812.5,2026-04-28,2026-06-12,paid,PO-5820
INV-2026-1113,Alderwood IT Services,1348.52,2026-04-14,2026-04-29,paid,PO-5052
INV-2026-1114,Fairview Catering Group,960.8,2026-05-04,2026-06-03,paid,PO-5261
INV-2026-1115,Timberline Maintenance,1428.49,2026-04-22,2026-05-07,paid,PO-5364
INV-2026-1116,Alderwood IT Services,220.41,2026-06-28,2026-07-13,pending,PO-5048
INV-2026-1117,Alderwood IT Services,98.15,2026-05-08,2026-06-07,paid,PO-5293
INV-2026-1118,Lakeside Freight Co,922.85,2026-06-19,2026-07-19,paid,PO-5560
INV-2026-1119,Meridian Office Partners,636.55,2026-06-21,2026-08-05,pending,PO-5233
INV-2026-1120,Meridian Office Partners,502.16,2026-06-08,2026-06-23,pending,PO-5395
INV-2026-1121,Westfield Insurance Group,314.02,2026-06-11,2026-07-11,pending,PO-5409
INV-2026-1122,Granite Security Solutions,572.38,2026-05-06,2026-05-21,paid,PO-5962
INV-2026-1123,Cobalt Marketing Studio,1553.2,2026-06-12,2026-07-12,pending,PO-5179
INV-2026-1124,Lakeside Freight Co,658.42,2026-06-03,2026-07-18,pending,PO-5644
INV-2026-1125,Lakeside Freight Co,896.77,2026-05-24,2026-06-23,paid,PO-5665
INV-2026-1126,Crescent Print Works,314.32,2026-05-03,2026-06-02,paid,PO-5314
INV-2026-1127,Redwood Payroll Services,1322.1,2026-06-08,2026-07-23,paid,PO-5248
INV-2026-1128,Lakeside Freight Co,282.04,2026-06-25,2026-08-09,paid,PO-5130
INV-2026-1129,Crescent Print Works,775.29,2026-04-01,2026-05-16,paid,PO-5454
INV-2026-1130,Timberline Maintenance,415.0,2026-06-17,2026-07-02,paid,PO-5098
INV-2026-1131,Beacon Legal Advisors,1512.52,2026-04-30,2026-05-15,pending,PO-5449
INV-2026-1132,Timberline Maintenance,4819.08,2026-05-27,2026-06-26,pending,PO-5480
INV-2026-1133,Alderwood IT Services,154.4,2026-05-08,2026-06-07,pending,PO-5729
INV-2026-1134,Northgate Consulting,151.29,2026-05-22,2026-06-21,paid,PO-5235
INV-2026-1135,Alderwood IT Services,253.92,2026-05-20,2026-07-04,pending,PO-5933
INV-2026-1136,Fairview Catering Group,661.75,2026-06-09,2026-07-09,pending,PO-5248
INV-2026-1137,Crescent Print Works,610.27,2026-04-23,2026-05-23,paid,PO-5868
INV-2026-1138,Cobalt Marketing Studio,812.59,2026-05-26,2026-07-10,pending,PO-5697
INV-2026-1139,Westfield Insurance Group,1163.05,2026-04-08,2026-05-08,pending,PO-5856
INV-2026-1140,Cobalt Marketing Studio,152.83,2026-05-23,2026-06-22,pending,PO-5851
INV-2026-1141,Beacon Legal Advisors,1363.68,2026-05-15,2026-05-30,pending,PO-5396
INV-2026-1142,Westfield Insurance Group,1560.28,2026-06-19,2026-07-19,pending,PO-5364
INV-2026-1143,Redwood Payroll Services,277.75,2026-04-04,2026-05-19,pending,PO-5484
INV-2026-1144,Westfield Insurance Group,532.2,2026-04-21,2026-05-06,paid,PO-5103
INV-2026-1145,Cobalt Marketing Studio,365.88,2026-04-15,2026-05-15,paid,PO-5426
INV-2026-1146,Lakeside Freight Co,40.74,2026-05-01,2026-05-16,pending,PO-5674
INV-2026-1147,Alderwood IT Services,542.98,2026-04-20,2026-05-05,pending,PO-5349
INV-2026-1148,Northgate Consulting,351.07,2026-06-16,2026-07-16,pending,PO-5477
INV-2026-1149,Northgate Consulting,2532.84,2026-04-13,2026-05-28,paid,PO-5021
