invoice_number,vendor,amount,invoice_date,due_date,status,po_number
INV-2026-2359,Quartz Design Studio,893.55,2026-01-06,2026-02-05,overdue,PO-6625
INV-2026-2202,Everline Distribution,231.75,2026-01-07,2026-02-06,pending,PO-6157
INV-2026-2213,Bluepeak Marketing,235.1,2026-03-25,2026-04-24,paid,PO-6726
INV-2026-2031,Northwind Security,2338.85,2026-05-02,2026-06-01,overdue,PO-6553
INV-2026-4062,Fleetline Maintenance,140.45,2026-05-24,2026-06-23,overdue,PO-6104
INV-2026-4049,Precision Print Shop,1344.67,2026-01-03,2026-03-04,overdue,PO-6215
INV-2026-3009,Fleetline Maintenance,142.13,2026-02-10,2026-03-12,pending,PO-6732
INV-2026-2602,Delta Freight Solutions,1164.83,2026-01-13,2026-02-12,overdue,PO-6775
INV-2026-3560,IRONCLAD LOGISTICS,785.06,2026-01-29,2026-02-28,paid,PO-6897
INV-2026-3207,Ridgeline HVAC,,2026-05-21,2026-06-20,pending,PO-6443
INV-2026-3385,BluePeak Marketing,864.62,2026-04-19,2026-05-04,overdue,PO-6370
INV-2026-5236,Northwind Security,3931.62,2026-01-09,2026-02-08,pending,PO-6077
INV-2026-2122,Quartz Design Studio,133.81,2026-06-08,2026-07-08,paid,PO-6429
INV-2026-4824,SUMMIT OFFICE SUPPLIES,,2026-04-29,2026-05-29,pending,PO-6800
INV-2026-3521,Everline Distribution,536.5,2026-04-11,2026-05-11,pending,PO-6346
INV-2026-5086,Northwind Security,1702.47,2026-05-02,2026-06-01,overdue,PO-6978
INV-2026-2641,Quartz Design Studio,316.41,2026-02-06,2026-02-21,pending,PO-6769
INV-2026-4989,Everline Distribution,143.89,2026-03-15,2026-04-14,overdue,PO-6577
INV-2026-2086,Civic Square Legal,276.0,2026-06-29,2026-08-28,paid,PO-6016
INV-2026-4862,Quartz Design Studio,153.61,2026-02-10,2026-04-11,pending,PO-6598
INV-2026-2694,Ridgeline HVAC,725.12,2026-05-13,2026-05-28,overdue,PO-6019
INV-2026-2511,Civic Square Legal,130.12,2026-06-18,2026-07-18,paid,PO-6805
INV-2026-3877,Zenith IT Consulting,436.4,2026-06-04,2026-07-04,pending,PO-6336
INV-2026-3237,Riverside Cleaning Co,178.81,2026-03-26,2026-04-25,paid,PO-6138
INV-2026-4033,Wellspring Analytics,483.27,2026-04-14,2026-04-29,paid,PO-6706
INV-2026-4978,Golden Valley Catering,7439.84,2026-01-05,2026-02-04,overdue,PO-6812
INV-2026-4533,Riverside Cleaning Co,358.72,2026-04-17,2026-05-17,pending,PO-6538
INV-2026-3702,Precision Print Shop,213.79,2026-02-07,2026-04-08,paid,PO-6221
INV-2026-3060,Meadowbrook Payroll,237.95,2026-03-15,2026-04-14,paid,PO-6380
INV-2026-2248,Ridgeline HVAC,1283.82,2026-01-10,2026-03-11,overdue,PO-6677
INV-2026-3218,BluePeak Marketing,773.53,2026-05-07,2026-06-06,paid,PO-6796
INV-2026-5035,Fleetline Maintenance,167.24,2026-02-02,2026-02-17,pending,PO-6611
INV-2026-4262,Golden Valley Catering,266.59,2026-03-31,2026-05-15,paid,PO-6145
INV-2026-4418,Ridgeline HVAC,1789.55,2026-04-30,2026-06-14,pending,PO-6218
INV-2026-3676,Pinnacle Telecom,3147.15,2026-05-05,2026-06-19,pending,PO-6759
INV-2026-3796,Meadowbrook Payroll,1032.12,2026-02-25,2026-03-27,paid,PO-6898
INV-2026-4697,BluePeak Marketing,253.55,2026-01-09,2026-02-08,overdue,PO-6222
INV-2026-3156,Zenith IT Consulting,733.29,2026-02-19,2026-04-05,overdue,PO-6264
INV-2026-3590,Trustpoint Insurance,185.37,2026-01-28,2026-02-27,pending,PO-6792
INV-2026-4177,Northwind Security,2038.48,2026-02-13,2026-03-15,pending,PO-6773
INV-2026-2651,Golden Valley Catering,957.69,2026-03-22,2026-05-06,overdue,PO-6207
INV-2026-3029,Civic Square Legal,474.1,2026-05-04,2026-07-03,overdue,PO-6597
INV-2026-3193,Golden Valley Catering,1009.16,2026-04-04,2026-05-04,overdue,PO-6494
INV-2026-4727,Riverside Cleaning Co,432.48,2026-04-05,2026-06-04,paid,PO-6847
INV-2026-5250,BluePeak Marketing,2925.05,2026-01-14,2026-02-13,pending,PO-6350
INV-2026-5081,Quartz Design Studio,277.19,2026-05-13,2026-06-27,paid,PO-6556
INV-2026-4201,Civic Square Legal,168.63,2026-06-17,2026-08-16,pending,PO-6968
INV-2026-2052,Fleetline Maintenance,874.04,2026-03-21,2026-04-20,pending,PO-6275
INV-2026-4108,Riverside Cleaning Co,2866.83,2026-02-11,2026-03-13,pending,PO-6447
INV-2026-3540,Quartz Design Studio,5607.89,2026-06-24,2026-07-24,pending,PO-6860
INV-2026-4334,Baystate Facilities,209.95,2026-03-07,2026-04-21,paid,PO-6707
INV-2026-4908,Quartz Design Studio,1121.86,2026-04-08,2026-06-07,pending,PO-6937
INV-2026-4758,Ridgeline HVAC,2194.6,2026-02-19,2026-03-21,overdue,PO-6854
INV-2026-4148,Civic Square Legal,221.94,2026-04-19,2026-05-19,paid,PO-6190
INV-2026-3550,Wellspring Analytics,771.02,2026-04-13,2026-05-13,paid,PO-6283
INV-2026-4154,Harborstone Consulting Group,15373.63,2026-01-28,2026-02-27,overdue,PO-6720
INV-2026-4368,Trustpoint Insurance,649.81,2026-06-18,2026-08-02,overdue,PO-6452
INV-2026-4714,Quartz Design Studio,484.4,2026-03-05,2026-04-04,overdue,PO-6212
INV-2026-3126,Ridgeline HVAC,307.23,2026-06-13,2026-07-13,paid,PO-6493
INV-2026-3551,Precision Print Shop,274.48,2026-02-07,2026-02-22,overdue,PO-6909
INV-2026-2087,Meadowbrook Payroll,238.11,2026-05-30,2026-06-29,overdue,PO-6169
INV-2026-4093,Trustpoint Insurance,486.66,2026-06-01,2026-07-16,overdue,PO-6505
INV-2026-5226,Riverside Cleaning Co,2938.96,2026-01-21,2026-02-20,overdue,PO-6800
INV-2026-2821,Golden Valley Catering,279.71,2026-05-10,2026-06-09,paid,PO-6725
INV-2026-2630,Northwind Security,334.37,2026-06-01,2026-06-16,paid,PO-6193
INV-2026-5133,Wellspring Analytics,3139.38,2026-05-21,2026-06-20,paid,PO-6025
INV-2026-2894,Ironclad Logistics,318.89,2026-04-30,2026-05-30,paid,PO-6416
INV-2026-5075,Fleetline Maintenance,9124.4,2026-06-28,2026-07-28,pending,PO-6346
INV-2026-2863,Wellspring Analytics,969.33,2026-03-15,2026-04-14,paid,PO-6330
INV-2026-4016,Zenith IT Consulting,225.97,2026-05-13,2026-06-12,overdue,PO-6141
INV-2026-2416,Harborstone Consulting Group,111.31,2026-06-13,2026-07-13,pending,PO-6637
INV-2026-3257,Everline Distribution,3367.9,2026-05-07,2026-06-06,overdue,PO-6412
INV-2026-3469,Zenith IT Consulting,403.97,2026-04-09,2026-05-24,pending,PO-6138
INV-2026-2932,Civic Square Legal,122.75,2026-06-24,2026-08-23,pending,PO-6658
INV-2026-3418,Precision Print Shop,218.58,2026-01-30,2026-03-01,paid,PO-6052
INV-2026-3355,Civic Square Legal,1504.06,2026-04-11,2026-05-11,paid,PO-6715
INV-2026-5248,Trustpoint Insurance,2026.67,2026-02-05,2026-03-07,paid,PO-6890
INV-2026-2232,Riverside Cleaning Co,215.36,2026-04-16,2026-05-16,overdue,PO-6178
INV-2026-3192,SUMMIT OFFICE SUPPLIES,276.14,2026-01-10,2026-02-09,overdue,PO-6055
INV-2026-3596,Golden Valley Catering,6231.93,2026-04-16,2026-05-16,paid,PO-6862
INV-2026-5239,Quartz Design Studio,3141.88,2026-04-04,2026-05-19,overdue,PO-6703
INV-2026-3191,Baystate Facilities,217.29,2026-04-10,2026-05-10,overdue,PO-6025
INV-2026-4145,Harborstone Consulting,1514.82,2026-05-06,2026-06-05,overdue,PO-6370
INV-2026-4584,Everline Distribution,997.74,2026-05-29,2026-06-28,pending,PO-6252
INV-2026-3481,Zenith IT Consulting,1459.23,2026-01-03,2026-02-02,pending,PO-6890
INV-2026-3654,Zenith IT Consulting,692.34,2026-02-23,2026-03-25,overdue,PO-6844
INV-2026-3264,Quartz Design Studio,165.36,2026-01-20,2026-02-04,paid,PO-6946
INV-2026-4789,BluePeak Marketing,424.13,2026-02-18,2026-03-20,overdue,PO-6991
INV-2026-3503,Quartz Design Studio,161.3,2026-04-07,2026-05-07,paid,PO-6516
INV-2026-2146,Golden Valley Catering,273.69,2026-03-01,2026-03-31,overdue,PO-6171
INV-2026-3719,Trustpoint Insurance,1350.18,2026-04-16,2026-05-01,pending,PO-6481
INV-2026-4442,Northwind Security,1508.61,2026-03-03,2026-03-18,paid,PO-6228
INV-2026-4932,Quartz Design Studio,,2026-04-08,2026-05-08,paid,PO-6799
INV-2026-3990,Zenith IT Consulting,1242.89,2026-05-11,2026-07-10,pending,PO-6478
INV-2026-2652,Northwind Security,3134.25,2026-02-01,2026-03-03,overdue,PO-6286
INV-2026-2858,BluePeak Marketing,294.62,2026-06-23,2026-08-22,pending,PO-6338
INV-2026-5158,Bluepeak Marketing,1058.53,2026-05-24,2026-07-23,paid,PO-6437
INV-2026-4719,IRONCLAD LOGISTICS,548.16,2026-03-16,2026-04-15,paid,PO-6984
INV-2026-4629,Quartz Design Studio,420.3,2026-06-08,2026-07-08,overdue,PO-6775
INV-2026-4487,Wellspring Analytics,261.56,2026-05-28,2026-06-27,pending,PO-6957
INV-2026-3139,Golden Valley Catering,14885.8,2026-06-22,2026-08-06,pending,PO-6641
INV-2026-3650,Trustpoint Insurance,457.91,2026-03-20,2026-05-19,pending,PO-6345
INV-2026-5014,Delta Freight Solutions LLC,278.86,2026-03-25,2026-04-09,overdue,PO-6499
INV-2026-4974,Zenith IT Consulting,301.83,2026-06-19,2026-07-19,pending,PO-6523
INV-2026-2685,Civic Square Legal,3859.14,2026-03-29,2026-04-13,paid,PO-6463
INV-2026-4988,Quartz Design Studio,1193.17,2026-05-21,2026-06-05,overdue,PO-6077
INV-2026-5234,Meadowbrook Payroll,288.75,2026-05-21,2026-06-20,pending,PO-6669
INV-2026-3883,Zenith IT Consulting,5587.8,2026-03-15,2026-04-29,pending,PO-6523
INV-2026-2810,Meadowbrook Payroll,1582.27,2026-06-18,2026-08-17,pending,PO-6051
INV-2026-3975,Wellspring Analytics,3498.56,2026-06-20,2026-07-05,pending,PO-6898
INV-2026-2214,Bluepeak Marketing,742.8,2026-05-15,2026-05-30,overdue,PO-6075
INV-2026-3613,Trustpoint Insurance,464.02,2026-06-16,2026-07-16,overdue,PO-6187
INV-2026-2443,Riverside Cleaning Co,2456.16,2026-03-05,2026-03-20,paid,PO-6186
INV-2026-3770,Trustpoint Insurance,734.94,2026-04-20,2026-05-20,overdue,PO-6350
INV-2026-2709,Riverside Cleaning Co,1147.99,2026-04-22,2026-05-22,pending,PO-6733
INV-2026-3903,Riverside Cleaning Co,3165.88,2026-04-28,2026-06-27,overdue,PO-6619
INV-2026-4776,BluePeak Marketing,412.74,2026-06-24,2026-08-23,overdue,PO-6856
INV-2026-2388,Baystate Facilities,592.78,2026-03-09,2026-04-08,paid,PO-6508
INV-2026-2613,Delta Freight Solutions,1723.65,2026-06-09,2026-07-09,pending,PO-6323
INV-2026-3693,Baystate Facilities,91.25,2026-05-03,2026-06-02,pending,PO-6291
INV-2026-4365,Civic Square Legal,1214.5,2026-04-14,2026-05-29,overdue,PO-6435
INV-2026-3925,Golden Valley Catering,371.27,2026-06-11,2026-07-11,pending,PO-6052
INV-2026-2614,Golden Valley Catering,633.04,2026-05-26,2026-07-25,pending,PO-6306
INV-2026-3511,Zenith IT Consulting,7178.06,2026-04-03,2026-06-02,pending,PO-6734
INV-2026-4370,Wellspring Analytics,633.27,2026-02-07,2026-03-09,overdue,PO-6617
INV-2026-5063,Zenith IT Consulting,138.73,2026-02-07,2026-03-09,paid,PO-6441
INV-2026-3394,Golden Valley Catering,8296.83,,2026-07-11,paid,PO-6228
INV-2026-2056,Summit Office Supplies,473.39,2026-06-14,2026-07-29,overdue,PO-6753
INV-2026-2677,Wellspring Analytics,2482.01,2026-02-17,2026-03-04,overdue,PO-6565
INV-2026-3053,Everline Distribution,177.61,2026-05-26,2026-06-25,paid,PO-6353
INV-2026-3247,Meadowbrook Payroll,,2026-03-20,2026-04-04,overdue,PO-6443
INV-2026-2233,Meadowbrook Payroll,,2026-06-27,2026-07-27,paid,PO-6075
INV-2026-2325,Precision Print Shop,1297.48,2026-05-05,2026-07-04,pending,PO-6621
INV-2026-2487,Delta Freight Solutions LLC,380.64,2026-03-11,2026-04-10,overdue,PO-6195
INV-2026-4248,Ironclad Logistics,754.64,2026-05-14,2026-06-13,overdue,PO-6119
INV-2026-2872,Civic Square Legal,11956.35,2026-05-24,2026-06-23,overdue,PO-6872
INV-2026-2217,Civic Square Legal,319.65,2026-05-25,2026-07-09,paid,PO-6251
INV-2026-3798,Bluepeak Marketing,873.21,2026-06-19,2026-07-04,overdue,PO-6127
INV-2026-4655,Baystate Facilities,484.64,2026-05-07,2026-05-22,pending,PO-6258
INV-2026-3303,Wellspring Analytics,470.09,2026-03-09,2026-04-08,overdue,PO-6744
INV-2026-2799,SUMMIT OFFICE SUPPLIES,1227.58,2026-05-09,2026-06-08,pending,PO-6804
INV-2026-2445,Bluepeak Marketing,446.6,2026-01-01,2026-01-31,pending,PO-6313
INV-2026-3049,Civic Square Legal,400.77,2026-06-25,2026-07-25,pending,PO-6780
INV-2026-5227,Zenith IT Consulting,46.28,2026-01-03,2026-03-04,paid,PO-6394
INV-2026-3996,Trustpoint Insurance,1298.58,2026-06-01,2026-07-01,paid,PO-6025
INV-2026-2869,Northwind Security,3586.34,2026-04-12,2026-05-27,overdue,PO-6623
INV-2026-4008,Quartz Design Studio,3688.83,2026-06-16,2026-07-16,paid,PO-6159
INV-2026-4360,Wellspring Analytics,596.46,2026-04-01,2026-05-01,overdue,PO-6415
INV-2026-3653,IRONCLAD LOGISTICS,290.2,2026-03-21,2026-04-05,paid,PO-6525
INV-2026-5240,summit office supplies,441.28,2026-02-12,2026-03-14,paid,PO-6158
INV-2026-4610,BluePeak Marketing,35.71,2026-06-27,2026-08-26,overdue,PO-6498
INV-2026-2194,Baystate Facilities,579.29,,2026-02-05,paid,PO-6568
INV-2026-3809,Fleetline Maintenance,4237.72,2026-04-14,2026-05-29,overdue,PO-6372
INV-2026-3657,Golden Valley Catering,209.17,2026-04-27,2026-05-12,paid,PO-6969
INV-2026-4941,Harborstone Consulting Group,37.21,2026-01-02,2026-02-16,pending,PO-6170
INV-2026-3601,Trustpoint Insurance,385.98,2026-06-20,2026-08-04,paid,PO-6176
INV-2026-2255,Wellspring Analytics,752.76,2026-01-07,2026-03-08,overdue,PO-6773
INV-2026-4071,Everline Distribution,4113.74,2026-05-11,2026-06-10,paid,PO-6139
INV-2026-4471,Quartz Design Studio,181.04,2026-04-10,2026-05-10,paid,PO-6702
INV-2026-4446,Precision Print Shop,346.57,2026-01-22,2026-03-23,pending,PO-6527
INV-2026-4323,Riverside Cleaning Co,77.0,2026-02-23,2026-03-25,overdue,PO-6427
INV-2026-4120,Civic Square Legal,552.88,2026-01-02,2026-02-01,pending,PO-6787
INV-2026-4434,Everline Distribution,4942.28,2026-01-02,2026-02-01,pending,PO-6582
INV-2026-4053,Precision Print Shop,3720.22,2026-01-12,2026-02-11,overdue,PO-6883
INV-2026-2507,Precision Print Shop,941.66,2026-02-26,2026-03-28,paid,PO-6250
INV-2026-2514,Wellspring Analytics,506.07,,2026-05-16,paid,PO-6311
INV-2026-4073,IRONCLAD LOGISTICS,2020.47,2026-03-25,2026-04-24,pending,PO-6219
INV-2026-2886,Civic Square Legal,1409.6,2026-04-18,2026-05-18,pending,PO-6471
INV-2026-3395,Zenith IT Consulting,132.01,2026-06-23,2026-07-23,overdue,PO-6530
INV-2026-2703,Zenith IT Consulting,253.87,2026-01-03,2026-02-02,overdue,PO-6915
INV-2026-4979,IRONCLAD LOGISTICS,1124.91,2026-01-01,2026-01-31,paid,PO-6388
INV-2026-4480,Pinnacle Telecom,1112.51,2026-04-05,2026-04-20,paid,PO-6043
INV-2026-2931,Quartz Design Studio,816.97,2026-01-04,2026-03-05,paid,PO-6929
INV-2026-3075,Pinnacle Telecom,1066.69,2026-05-15,2026-06-14,pending,PO-6918
INV-2026-4836,Wellspring Analytics,2615.11,2026-03-10,2026-04-09,paid,PO-6974
INV-2026-4753,Ironclad Logistics,166.39,2026-02-02,2026-02-17,overdue,PO-6518
INV-2026-3467,Riverside Cleaning Co,402.22,2026-02-23,2026-03-25,pending,PO-6949
INV-2026-3595,Everline Distribution,254.96,2026-05-16,2026-06-30,overdue,PO-6656
INV-2026-4852,Pinnacle Telecom,994.19,2026-04-04,2026-05-04,overdue,PO-6292
INV-2026-3275,Everline Distribution,242.19,,2026-02-12,overdue,PO-6540
INV-2026-2895,Baystate Facilities,416.56,2026-01-01,2026-01-31,overdue,PO-6726
INV-2026-2789,BluePeak Marketing,270.74,2026-05-23,2026-06-22,pending,PO-6093
INV-2026-3427,Precision Print Shop,1153.23,2026-04-05,2026-05-20,overdue,PO-6108
INV-2026-5010,Quartz Design Studio,272.34,2026-05-13,2026-06-27,overdue,PO-6941
INV-2026-3566,Precision Print Shop,1441.38,2026-02-23,2026-04-24,pending,PO-6856
INV-2026-3636,Wellspring Analytics,1700.79,2026-03-22,2026-05-06,overdue,PO-6847
INV-2026-4820,Delta Freight Solutions,1510.37,2026-05-11,2026-06-10,paid,PO-6339
INV-2026-3176,Riverside Cleaning Co,2368.21,2026-02-19,2026-04-05,pending,PO-6972
INV-2026-5057,Zenith IT Consulting,1496.44,2026-04-26,2026-06-25,pending,PO-6868
INV-2026-2999,Delta Freight Solutions LLC,229.36,2026-05-09,2026-07-08,pending,PO-6993
INV-2026-2203,Golden Valley Catering,6302.18,2026-06-06,2026-07-06,overdue,PO-6204
INV-2026-2246,Pinnacle Telecom,2107.11,2026-03-05,2026-04-19,pending,PO-6336
INV-2026-4572,Quartz Design Studio,1521.1,2026-04-12,2026-05-27,pending,PO-6254
INV-2026-4872,Delta Freight Solutions LLC,246.38,2026-03-05,2026-05-04,overdue,PO-6842
INV-2026-4802,Meadowbrook Payroll,,2026-03-07,2026-03-22,paid,PO-6361
INV-2026-4743,Ironclad Logistics,142.66,2026-01-07,2026-02-06,paid,PO-6108
INV-2026-3428,Meadowbrook Payroll,2904.16,2026-06-19,2026-08-03,pending,PO-6501
INV-2026-2494,Delta Freight Solutions,317.68,2026-03-10,2026-03-25,overdue,PO-6505
INV-2026-2260,Ironclad Logistics,392.53,2026-01-23,2026-02-22,pending,PO-6305
INV-2026-4027,Northwind Security,915.09,2026-02-28,2026-03-30,pending,PO-6906
INV-2026-4780,Meadowbrook Payroll,18347.67,2026-05-01,2026-05-31,pending,PO-6334
INV-2026-4691,Precision Print Shop,362.53,2026-04-16,2026-05-16,overdue,PO-6369
INV-2026-4699,Ridgeline HVAC,497.53,2026-05-19,2026-06-03,paid,PO-6228
INV-2026-2010,Baystate Facilities,22212.48,2026-05-18,2026-06-17,overdue,PO-6638
INV-2026-3619,Trustpoint Insurance,3049.26,2026-01-30,2026-03-31,pending,PO-6601
INV-2026-5245,Precision Print Shop,73.17,2026-06-19,2026-07-19,paid,PO-6955
INV-2026-5172,Northwind Security,122.12,2026-05-29,2026-06-28,paid,PO-6266
INV-2026-2941,Zenith IT Consulting,2006.43,2026-06-05,2026-07-05,overdue,PO-6252
INV-2026-4488,Precision Print Shop,1839.26,2026-04-22,2026-06-06,overdue,PO-6552
INV-2026-3022,Riverside Cleaning Co,336.04,2026-03-24,2026-04-08,overdue,PO-6287
INV-2026-4235,Meadowbrook Payroll,2009.79,2026-05-16,2026-07-15,overdue,PO-6538
INV-2026-2037,Trustpoint Insurance,206.65,2026-03-26,2026-05-10,overdue,PO-6279
INV-2026-3107,Quartz Design Studio,2508.69,2026-03-25,2026-04-24,paid,PO-6291
INV-2026-4103,Wellspring Analytics,72.62,2026-05-11,2026-06-10,overdue,PO-6608
INV-2026-4511,Riverside Cleaning Co,885.48,2026-05-23,2026-06-22,overdue,PO-6359
INV-2026-2475,Trustpoint Insurance,5790.28,2026-04-20,2026-06-19,overdue,PO-6617
INV-2026-4942,Wellspring Analytics,299.19,2026-02-21,2026-04-07,pending,PO-6774
INV-2026-2016,Trustpoint Insurance,2026.67,2026-02-04,2026-04-05,paid,PO-6038
INV-2026-3265,Trustpoint Insurance,1312.13,2026-03-20,2026-04-19,pending,PO-6926
INV-2026-2719,Northwind Security,312.38,2026-05-09,2026-07-08,overdue,PO-6962
INV-2026-2867,Civic Square Legal,93.11,2026-02-18,2026-04-19,overdue,PO-6365
INV-2026-4317,Everline Distribution,732.73,2026-05-21,2026-06-20,pending,PO-6522
INV-2026-4457,Delta Freight Solutions,1674.11,2026-05-18,2026-06-17,pending,PO-6236
